name,text,category
Facebook posts,"This photo shows ""headache treatments in 1890s known as vibration therapy.""",false
Rick Scott,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",false
Viral image,Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,false
Facebook posts,Queen Elizabeth II is dead.,false
Facebook posts,President John F. Kennedy “was planning to end the Federal Reserve.”,false
Viral image,"Says Rep. Marjorie Taylor Greene said, “If it weren’t for electricity, we’d all be watching TV by candlelight.”",false
Viral image,An image shows “a medical oddity that is characterized by having two pupils in each eyeball.”,false
TikTok posts,“Airline CEO gets pied for forcing vaccinations”,false
Facebook posts,“CNN confirms Trump WILL be ARRESTED.”,false
Bloggers,"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”",false
Facebook posts,“Trudeau declares Emergencies Act amounting to near martial law in Canada.”,false
Facebook posts,"""Ivanka Trump charged with major crime.”",false
Jesse Watters,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",false
Facebook posts,"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”",false
Facebook posts,"""According to Congress, travel nurses need a pay cap.”",false
Tweets,Turning Point USA is a white nationalist organization.,false
Viral image,Buzz Aldrin’s comments during an interview with Conan O’Brien prove the moon landing was fake.,false
Infowars,"""Study proves children’s hearts destroyed by COVID vaccine.""",false
Instagram posts,"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""",false
Facebook posts,The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,false
Tweets,"""Books banned in Texas include 1984, Maus, and The Handmaid's Tale, but not Mein Kampf.""",false
Tweets,A video shows that “OnlyFans has guys on campus encouraging your daughters to do porn for ‘financial freedom.’”,false
Bloggers,COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,false
Facebook posts,"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.",false
Dave McCormick,“We all know China created COVID.”,false
